caracter,frequencia
a,349828
à,6
r,253256
ã,6199
o,181497
b,33003
c,98884
t,109658
e,301520
i,218931
s,269367
x,8452
l,69702
á,33713
d,85156
f,32033
ç,8531
m,133776
n,112687
í,14415
v,45873
u,69229
z,19907
h,19976
q,8618
ê,2327
õ,1280
ô,596
j,9046
g,36550
ó,1745
p,56141
é,1471
â,439
k,22
ú,483
w,18
y,8
-,2
