tamanho,quantidade
1.0,7
2.0,76
3.0,338
4.0,1845
5.0,6026
6.0,12383
7.0,22227
8.0,32915
9.0,40052
10.0,42415
11.0,37384
12.0,28331
13.0,18253
14.0,10386
15.0,5194
16.0,2280
17.0,1001
18.0,420
19.0,163
20.0,61
21.0,21
22.0,7
23.0,3
