caracter,frequencia
2,24
1,32
0,9
8,6
&,7
c,182327
-,46148
p,134734
o,307800
i,375395
n,310546
t,281227
h,119027
6,6
s,306059
",",3
4,13
5,9
d,153205
3,12
m,126769
r,305958
g,105640
l,249256
7,2
9,6
a,367425
',4225
.,1776
b,81975
f,54387
u,157477
v,42894
w,36767
/,69
e,477142
q,8096
y,83264
k,38866
x,12373
j,7801
z,17676
!,2
